contest_id;host_code;contest_name;models;participants;views;start_date;end_date
101;M;CyberBrick Master: Scenes & Maps;318;301;335282;2025/06/27;2025/08/31
102;O;Automobile;42;40;95521;2025/06/30;2025/07/27
103;O;Dino Safari;995;675;254657;2025/07/04;2025/08/03
104;O;Built to Flex;756;555;324962;2025/07/11;2025/08/10
105;O;Painting Tools;849;664;291269;2025/07/17;2025/08/11
106;O;Jewelry Box;624;548;245744;2025/07/23;2025/08/17
107;O;Glow Within;1107;824;335272;2025/08/05;2025/09/01
108;O;Key Covers;533;592;416191;2025/08/07;2025/09/03
109;O;Power Meets Creativity;174;221;358666;2025/09/01;2025/09/26
110;O;Greek Mythology;1094;837;304646;2025/08/25;2025/09/17
111;M;Master: Battleship;419;455;279817;2025/09/17;2025/10/19
112;O;Cathedral;335;314;173841;2025/09/26;2025/10/21
113;O;Halloween 2025;5738;3047;728215;2025/09/30;2025/10/26
114;M;Master: Conveyor Belt;153;162;296237;2025/10/14;2025/11/16
115;O;Baby Stroller Accessories;234;275;265572;2025/10/23;2025/11/24
116;M;CyberBrick Master: Compatible Remotes;72;72;199653;2025/10/30;2025/12/02
117;O;realme GT8 Pro Deco;267;285;170158;2025/11/07;2025/12/20
118;O;TRYX Open-frame Case;57;78;249205;2025/11/16;2025/12/23
119;O;The Vortek: Zero Compromise;522;389;175536;2025/11/18;2025/12/21
120;O;Printmas 2025;7078;3634;636726;2025/11/21;2025/12/21
121;O;Snowball Fight;220;230;236829;2025/11/28;2025/12/28
122;O;Torch;365;407;176811;2025/12/08;2026/01/11
123;M;Master: Portable Vacuum Cleaner;221;218;247900;2025/12/12;2026/01/18
124;C;@Kit Crafters Mecha Remix;139;155;151826;2025/12/14;2026/01/19
125;O;Scepter;374;368;155431;2025/12/26;2026/01/26
126;M;Master: Book Nook;599;526;266146;2026/01/07;2026/02/08
127;O;Year of the Horse;1187;885;170013;2026/01/08;2026/02/09
128;O;Layered with Love: 2026 Valentine's Day;4432;2769;354838;2026/01/22;2026/02/24
129;M;Master: Wearable Armor;332;327;252012;2026/02/03;2026/03/22
130;O;Home Bar;971;750;263086;2026/02/09;2026/03/15
131;C;@prime_tower - Old World Magic;570;408;152973;2026/02/11;2026/03/15
132;O;Hair Accessories;498;386;161365;2026/02/25;2026/03/29
133;O;Hop Into Creativity: Easter 2026;3555;2074;325865;2026/03/04;2026/04/05
134;O;Expect the Unexpected: April Fools' Day;707;603;280869;2026/03/02;2026/04/01
135;C;@wuguigui CyberBrick RC Cars Remix;84;106;113333;2026/03/10;2026/04/19
136;O;Bonsai;586;525;245063;2026/03/17;2026/04/19
137;C;@Pi-Guy - Filament Recycling;314;304;382748;2026/03/24;2026/04/24
138;C;@JamesDaRock - Pieksekisten;1976;1008;305953;2026/04/02;2026/05/05
139;O;Football Fan Spirit;847;600;194497;2026/04/10;2026/05/10
140;O;Wind Spinner;324;295;245283;2026/04/14;2026/05/14
141;C;@Stag3D - Spring Play;709;530;198658;2026/04/17;2026/05/17
142;C;@Mafagrafos - Parametric Home Decor;1151;777;225682;2026/04/30;2026/05/31
143;C;@scottyujan - Home Gallery;2101;1276;255826;2026/04/21;2026/05/24
144;O;Cup Holder;1064;836;246106;2026/05/15;2026/06/21
145;O;Children's Toy;3363;1756;371590;2026/05/21;2026/06/28
146;C;@SabreDesign & @Collecticraft - Moku System;198;152;222510;2026/05/29;2026/07/01
147;C;@everythingDND - The Breach;737;474;152270;2026/06/08;2026/07/12
149;O;Pet Feeder;624;522;177347;2026/06/22;2026/07/26
150;C;@Pipin.World BONBON Capsules;894;556;108252;2026/07/01;2026/07/30
151;C;@Bavaria_3D Tanks T-34 Evolution Remix;66;49;97063;2026/06/18;2026/08/03
152;C;@MeshBear - Exoskeleton & Articulated Mechanism;234;240;155239;2026/07/06;2026/08/16
153;O;MakerWorld x Insta360 Luna Ultra;234;192;173303;2026/07/10;2026/08/09
154;O;Homer's Epics;580;419;162182;2026/07/17;2026/08/23
155;C;@Ozarkexpeditions - PlayGrid Board Games;162;165;166192;2026/07/22;2026/08/26
156;C;@michelem - Basecamp Anywhere;708;558;158618;2026/07/27;2026/08/28
157;C;@itsboyinspace x @Plastic3D x @Sam Prentice - RoboDog Mod;131;109;129191;2026/08/03;2026/09/28
158;O;Pool Party;374;306;109376;2026/08/10;2026/09/08
159;O;Bug Off;319;300;103831;2026/08/17;2026/09/18
160;M;Master: Amusement Park;146;145;79435;2026/08/21;2026/10/06
161;C;@Ariel - Custom Cyclo;63;75;69749;2026/08/26;2026/10/07
162;C;@SUSANFANG - Brooch;142;136;73931;2026/09/01;2026/09/30
163;C;@MaKim - Advanced Water Fight;40;52;86712;2026/09/04;2026/10/11
164;O;Make for Good: Accessibility;125;143;83507;2026/09/16;2026/11/15
165;C;@berri3D - Build Knowledge: Kit Card;56;94;64711;2026/09/10;2026/10/19
166;O;Halloween 2026;1172;684;72450;2026/09/21;2026/11/16
