contest_id|awards|prize_usd|hardware_awards|winners|winner_likes|winner_downloads|first_prize_title|first_prize_creator|first_prize_likes|avg_likes_listed
80|13|1400|0|17|36999|45198|4/4 Violin Full Size|viu.logic|5240|122
81|15|1080|0|15|16397|14012|NeoHexa Metropolis Marble Run|Structales - Roadrunner4d|7943|24
82|15|1080|0|17|11495|7728|Project Benchy / Spool Art|ERAVIA|475|76
83|15|1200|0|17|18804|29463|Easter Bunny Egg House & Candy Jar|Johnny_Bit|2165|62
84|15|1080|0|17|8282|6817|Jukebox - Night Light and Music Box|blecheimer|749|150
85|15|1080|0|15|39211|30801|Portable chair with suitcase functio|EMAY-DESIGN|18506|53
86|15|1080|0|15|31600|22488|Mini Roulette|sdaendi|17522|55
87|15|600|3|18|22292|16812|Pirate Benchy - Remote Control|Carmelart_|1534|73
88|15|1080|0|15|36859|33634|Trekking Poles (height adjustable)|Nimburs|571|392
89|15|1080|0|17|37206|41573|RainReserve - Downspout Diversion Sy|vaughn.taylor|2658|258
90|15|1500|0|17|43089|48702|Remote Controlled Water Turret|MaKim|6749|240
91|13|1000|0|17|31088|62086|Magic Trick Card Deck|Prime Tower Designs|629|265
92|13|1000|0|15|11675|9386|Chow Crown|EngineerForge|511|178
93|39|0|9|39|21330|18768|Camp Coffee Kit Vault|DKprints|1926|72
94|9|840|0|9|2103|4217|Arcane Codex - Spellbook Box|21CNCStudio|828|78
95|13|1000|0|15|8870|5834|Lab Ants: Modular Ant Formicarium|GalacticatCo|1496|56
96|13|1400|0|15|37546|22647|Coin Operated Vending Machine|Rocco's Stuff|5616|97
97|13|1000|0|15|60981|85385|Hand Bubble Machine|coverv|5574|981
98|13|1000|0|13|38398|23454|Lumetra - modular photography stand|Sparky Summer|6136|117
99|15|1500|0|15|26178|13944|Arcade Pong Mecanico|Alberto Nicás|2618|515
100|13|1000|0|24|34572|19205|mini CITIES - FUTURAMA|ModularMade|3277|483
101|13|2000|0|15|13396|13700|The Machine - A Factory Playset|jaayjeee|2062|188
102|7|760|0|7|1449|3980|CyberCruiser / CyberBrick Compatible|21CNCStudio|431|82
103|13|1000|0|14|26688|24573|Saber Tooth Tiger Skull Pet Bed|vali|6158|97
104|13|1000|0|15|27048|30679|Massage Tool Set|EMAY-DESIGN|6928|165
105|13|1000|0|13|33728|43198|Z-Desk Paint Master Modular Tool|Polvak3D|5394|34
106|13|1000|0|17|31118|23071|Peranakan Jewel/Organizer Box|Dominik|1369|605
107|13|1000|0|15|30516|24006|Enma - Zoro's Legendary Katana|Tobyruss|2709|425
108|13|1000|0|14|12114|8712|Pocket Smart Keyholder|Jorge Rui|3821|20
109|13|1400|0|13|3588|1044|EcoJack: Flow of Fright|Cryostatic|794|8
110|13|1000|0|15|15467|11905|Athens Origins Boardgame|Coep|797|131
111|15|1500|0|15|14530|19381|RC Battleship SMS Helgoland 1:150|JKnittelDesign|4311|429
112|13|1000|0|13|11816|6876|Cathedral or Castle Blocks|MarioMAX|4255|111
113|13|1000|0|15|23069|16475|Haunted House - A Halloween Scene|Structales - Roadrunner4d|5632|73
114|15|1500|0|16|30882|17074|Wedge Conveyor System-KE 50|Virrgott|3310|483
115|13|1000|0|13|13144|13207|Noble Steed - Stroller Accessory|Sir Cadsalot|537|64
116|13|1400|0|13|13945|5662|CyberGauntlet: Wearable Controller|BlainLeVilain|2304|458
117|19|1280|3|19|1398|431|Fidget Steampunk Camera Cover|Vixis|321|12
118|13|1500|0|13|12950|7119|PIXEL Modular Open Frame PC Case|Robota|3805|568
119|13|2200|0|13|12457|9563|Starry Night Vase|Procs Design|1142|339
120|15|1080|0|21|36802|27697|Winter Village - Sled Hill Diorama|Structales - Roadrunner4d|3677|54
121|13|1000|0|13|23604|14067|Snowball Making Machine|Alberto Nicás|5050|385
122|13|1000|0|14|11671|5224|LIBERTY TORCH - Magnetic Levitation|Ariel|256|58
123|15|1500|0|15|11271|7507|Robot Vacuum Cleaner X Cyberbrick|FADY|3381|82
124|6|360|1|6|4061|4390|Origin-Zero: Black Knight|PeWu|1161|132
125|13|1060|0|13|6845|4070|Guilded Moonstone Scepter|WazzyPrints3D|1387|60
126|15|1500|0|20|43161|25071|Magical Portal Book Nook|MaKim|3209|490
127|13|1000|0|13|16866|36463|2026 The Year of the Horse|ImU|93|42
128|13|1000|0|15|24326|19948|Museum of Us|Taposk|5159|74
129|15|1600|0|15|24212|17730|Samurai / Ronin Full Armor Set|reforg3d|4650|492
130|13|1000|0|15|45900|66014|Industrial Pipe Whiskey Bottle Holder|MY LIGHT|1034|229
131|10|1000|0|10|5691|5301|Aetheroscope - Kinetic Moire|StudioPrint.3D|613|197
132|13|1000|0|15|12405|7487|Butterfly Crown Headband|Pipin.World|1510|200
133|21|1540|0|22|9307|5645|Easter Garden - Kit Card Set|berri3D|827|4
134|13|1000|0|13|34652|25890|Broken Glass Prank|Stag 3D|6945|711
135|11|0|9|11|965|449|CyberBrick 4x4 Wheeled Excavator|瘋子般の小白|187|53
136|13|1000|0|13|27670|18241|The Story of Bonsai|FK|219|336
137|10|500|0|10|10620|2597|Modular compression molding system|Tabaluga|2702|42
138|13|0|0|0|0|0||||60
139|13|1000|0|13|12831|14994|Magnetic Levitating Soccer Ball|Mc2.project3D|369|33
140|13|1000|0|13|19594|18999|Wind-powered pumping station|AD-Concept|3821|106
141|15|600|0|15|22563|27016|Mini Pet Carrier Playset|JABO Designs|2534|1316
142|4|640|0|5|4580|4733|Parametric Cutting Board Stand|Stoneburrow|3483|231
143|28|1400|23|28|29918|18160|KYRO - Modular Wall System|Yousuf Zakaria|1884|585
